product;sourceService;targetService;protocol;port;description
VBR;SCVMM;Backup server;TCP;443;-
VBR;Hyper-V server/Off-host backup proxy;Gateway server;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;File server (Windows or Linux);TCP;6160;-
VBR;Backup server;File server (Windows or Linux);TCP;6210;Required by Microsoft Windows-based backup servers for VSS snapshot during SMB file share backup.
VBR;Backup server;File server (Windows or Linux);TCP;6162, 2500 to 3300;-
VBR;Backup proxy;NAS filer (NetApp Data ONTAP or Lenovo ThinkSystem DM/DG Series storage system);TCP, UDP;111, 2049;Required for NFS.
VBR;Backup proxy;NAS filer (NetApp Data ONTAP or Lenovo ThinkSystem DM/DG Series storage system);TCP;445;Required for SMB.
VBR;Backup proxy;NAS filer (NetApp Data ONTAP or Lenovo ThinkSystem DM/DG Series storage system);TCP, UDP;635;-
VBR;Backup proxy;NAS filer (NetApp Data ONTAP or Lenovo ThinkSystem DM/DG Series storage system);TCP;80, 443;Required by NetApp SnapDiff when changed file tracking (CFT) is enabled.
VBR;Backup proxy;NAS filer (Dell PowerScale (formerly Isilon) or Nutanix Files storage system);TCP, UDP;111, 2049;Required for NFS.
VBR;Backup proxy;NAS filer (Dell PowerScale (formerly Isilon) or Nutanix Files storage system);TCP;445;Required for SMB connections.
VBR;Backup proxy;NAS filer (Dell PowerScale (formerly Isilon) or Nutanix Files storage system);TCP;20048;Required for NFS.
